# theta (rad), phi(rad), MAE(total), MAE(atom-wise) Unit: meV
0.00000 0.00000 -282.83237862 150.65969844 150.65494439 -111.24700733 -111.24701162 -111.24639829 -111.24639458 -111.24701426 -111.24700472 
0.20944 0.00000 -282.55308557 150.75325716 150.74848064 -111.61817314 -110.81384667 -111.28042703 -111.28039509 -110.81383709 -111.61818674 
0.41888 0.00000 -281.76350273 151.01775508 151.01291488 -111.86511555 -110.39553426 -111.37269334 -111.37263819 -110.39551753 -111.86514581 
0.62832 0.00000 -280.60015614 151.40745806 151.40252398 -111.94500698 -110.06427534 -111.50750162 -111.50743229 -110.06425784 -111.94505152 
0.83776 0.00000 -279.26419899 151.85498284 151.84994094 -111.84391600 -109.87723009 -111.66177727 -111.66170532 -109.87721831 -111.84397009 
1.04720 0.00000 -277.98663041 152.28294829 152.27780325 -111.57922137 -109.86663948 -111.80904628 -111.80898375 -109.86663893 -111.57927873 
1.25664 0.00000 -276.98835362 152.61735527 152.61212959 -111.19661150 -110.03425493 -111.92400397 -111.92396135 -110.03426915 -111.19666536 
1.46608 0.00000 -276.44197974 152.80038173 152.79511189 -110.76218797 -110.35103898 -111.98688345 -111.98686785 -110.35106891 -110.76223230 
1.67552 0.00000 -276.44198178 152.80038074 152.79511083 -110.35103840 -110.76218854 -111.98686868 -111.98688261 -110.76223234 -110.35106889 
1.88496 0.00000 -276.98835938 152.61735246 152.61212658 -110.03425434 -111.19661207 -111.92396217 -111.92400312 -111.19666542 -110.03426914 
2.09440 0.00000 -277.98663890 152.28294415 152.27779881 -109.86663889 -111.57922195 -111.80898456 -111.80904543 -111.57927878 -109.86663895 
2.30383 0.00000 -279.26420874 151.85497808 151.84993585 -109.87722950 -111.84391659 -111.66170612 -111.66177643 -111.84397014 -109.87721836 
2.51327 0.00000 -280.60016546 151.40745351 151.40251911 -110.06427474 -111.94500758 -111.50743310 -111.50750079 -111.94505157 -110.06425790 
2.72271 0.00000 -281.76351002 151.01775153 151.01291108 -110.39553366 -111.86511618 -111.37263900 -111.37269253 -111.86514584 -110.39551761 
2.93215 0.00000 -282.55308956 150.75325522 150.74847856 -110.81384609 -111.61817378 -111.28039591 -111.28042623 -111.61818677 -110.81383718 
3.14159 0.00000 -282.83237862 150.65969844 150.65494439 -111.24701104 -111.24700799 -111.24639542 -111.24639750 -111.24700474 -111.24701434 
